Soil age	Mean depth	aliphaticCH	aromaticCC	amiquiket	carboxylateCO	C	N	C:N	N:P	C:N:P	P	d15N	d13C	rootC input	Al	Fe	Mg	Si	Fe total:DCB	Al total:DCB	Ti:Zr	Fe:Si	Clay	Silt	Sand	CEC	BSat	pH	TRB	BS:CEC	BS:pH	CEC:Clay
0.1	5	4.33	0.73	4.34	1.58	0.67	0.05	14.47	0.00004	0.01	1146.15	2.87	-28.45	1.37	1270.81	6173.40	692.35	2392.77	5.92	65.09	21.68	0.15	15.24	58.36	26.40	15.20	86.56	6.80	13.16	5.69	12.73	1.00
0.1	20	1.05	2.48	28.28	-0.71	0.12	0.01	10.00	0.00001	0.01	1226.46	3.23	-28.11	0.27	896.77	6131.26	264.05	1569.85	6.05	102.83	18.07	0.13	4.92	63.05	32.03	14.20	74.27	6.80	10.55	5.23	10.92	2.89
0.1	5	4.19	0.52	3.81	1.15	0.65	0.05	13.45	0.00004	0.01	1146.15	3.00	-28.96	1.37	1270.81	6173.40	692.35	2392.77	5.92	65.09	21.68	0.15	15.24	58.36	26.40	15.20	86.56	6.80	13.16	5.69	12.73	1.00
0.1	20	1.57	2.04	20.34	-0.59	0.16	0.02	9.99	0.00001	0.01	1226.46	2.95	-27.98	0.27	896.77	6131.26	264.05	1569.85	6.05	102.83	18.07	0.13	4.92	63.05	32.03	14.20	74.27	6.80	10.55	5.23	10.92	2.89
0.1	5	3.84	0.52	3.59	1.42	0.74	0.05	14.29	0.00004	0.01	1146.15	2.86	-28.99	1.37	1270.81	6173.40	692.35	2392.77	5.92	65.09	21.68	0.15	15.24	58.36	26.40	15.20	86.56	6.80	13.16	5.69	12.73	1.00
0.1	20	0.06	2.33	24.22	-0.71	0.14	0.01	10.12	0.00001	0.01	1226.46	3.11	-27.95	0.27	896.77	6131.26	264.05	1569.85	6.05	102.83	18.07	0.13	4.92	63.05	32.03	14.20	74.27	6.80	10.55	5.23	10.92	2.89
3	5	3.76	1.49	7.06	1.29	0.43	0.03	12.88	0.00004	0.02	767.58	2.80	-27.80	1.24	981.96	9519.90	419.82	1341.67	3.71	66.15	19.62	0.12	9.14	62.63	28.23	13.40	109.37	6.60	14.66	8.16	16.57	1.47
3	20	0.04	1.05	23.54	0.95	0.19	0.01	16.30	0.00003	0.04	398.85	4.12	-26.31	0.27	914.53	10353.47	598.26	1398.86	3.82	80.29	14.22	0.13	12.93	69.19	17.88	9.90	116.59	6.20	11.54	11.78	18.80	0.77
3	5	4.44	1.87	9.89	1.29	0.32	0.03	12.47	0.00003	0.02	767.58	2.60	-27.90	1.24	981.96	9519.90	419.82	1341.67	3.71	66.15	19.62	0.12	9.14	62.63	28.23	13.40	109.37	6.60	14.66	8.16	16.57	1.47
3	20	0.13	1.00	29.09	1.01	0.13	0.01	12.60	0.00003	0.03	398.85	3.79	-26.37	0.27	914.53	10353.47	598.26	1398.86	3.82	80.29	14.22	0.13	12.93	69.19	17.88	9.90	116.59	6.20	11.54	11.78	18.80	0.77
