ID	Soil age	Mean depth	C_perc
PM24-0-9	0.1	0-10 cm	2.4
PM24-19-30	0.1	10-30 cm	0.8
PM24-0-9	0.1	0-10 cm	2.4
PM24-19-30	0.1	10-30 cm	0.8
PM22-0-13	3	0-10 cm	3.6
PM22-13-35	3	10-30 cm	0.8
PM22-0-13	3	0-10 cm	3.6
PM22-13-35	3	10-30 cm	0.8
M1-0-5	35	0-10 cm	2.4
M1-22-53	35	10-30 cm	0.5
M1-0-5	35	0-10 cm	2.4
M1-22-53	35	10-30 cm	0.5
R-0-12	300	0-10 cm	1.3
R-12-39	300	10-30 cm	0.2
R-0-12	300	0-10 cm	1.3
R-12-39	300	10-30 cm	0.2
CH2_12	3000	0-10 cm	0.7
CH12_30	3000	10-30 cm	0.4
CH2_12	3000	0-10 cm	0.7
CH12_30	3000	10-30 cm	0.4
